,duns,companyname,coco,national_id,national_idco
1,99975828,SONETTE INC,805,,NA
2,99975836,"GRACY TITLE COMPANY , LC",805,,NA
3,99976011,VILLAGE OF BRITTON,805,,NA
4,99976016,AMSOIL INC,805,,NA
5,99976151,THE WILLIAMS TOOL CO,805,,NA
6,99976156,AMERICAN MORTGAGE EXPRESS CORPORATION,805,,NA
7,99976177,VORRATH'S ENTERPRISES OF MONROE INC,805,,NA
8,99976446,HOUSEHOLD FINANCE CORPORATION,805,,NA
9,99976560,UNITED STATES FISH AND WILDLIFE SERVICE,805,,NA
10,99976651,UNITED STATES AVIATION UNDERWRITERS INC,805,,NA
11,99976834,MONETARY MANAGEMENT OF CA INC,805,,NA
12,99976862,MESSER GRIESHEIM INDUSTRIES INC,805,,NA
13,99976982,FLORIDA TUBE CORPORATION,805,,NA
14,99977212,THE UNIVERSITY OF SOUTH DAKOTA,805,,NA
15,99977352,"COORSTEK, INC.",805,,NA
16,99977360,"IMAGE KEEPERS, INC",805,,NA
17,99977431,U S SUPPLY COMPANY INC,805,,NA
18,99977519,"ALLIED ENGINEERING SERVICES, INC",805,,NA
19,99977865,"NAPLES PATIO, INC",805,,NA
20,99977873,HARNISCHFEGER CORPORATION,805,,NA
21,99978012,IDEAL WINDOW MANUFACTURING INC,805,,NA
22,99978160,MKS CORPORATION,805,,NA
23,99978285,"PAC WEST CONSTRUCTION, INC",805,,NA
24,99978376,SHIRTCLIFF OIL CO,805,,NA
25,99978541,USXP CAPITAL CORP,805,,NA
26,99978566,COMMUNITY PARTNERS INC,805,,NA
27,99978582,"PIKES PEAK FOODS, INC",805,,NA
28,99978657,FREE WHEELIN' FILMS LTD,805,,NA
29,99978848,DOMINION EXPLORATION & PRODUCTION INC,805,,NA
30,99978970,WILLIS OF MARYLAND INC,805,,NA
31,99979010,DIGITAL TELEPORT OF VIRGINIA INC,805,,NA
32,99979226,J. M. BUILDING & REMODELING CO INC,805,,NA
33,99979346,STAR BUILDING SERVICES INC,805,,NA
34,99979440,PUTNAM COUNTY COURT HOUSE,805,,NA
35,99979713,TOWN FAIR TIRE CENTERS INC,805,,NA
36,99979879,TOWN FAIR TIRE CENTERS INC,805,,NA
37,99979916,WYETH,805,,NA
38,99980021,DOOR CRAFT OF PHILADELPHIA,805,,NA
39,99980237,KENNEDY HEALTH SYSTEMS,805,,NA
40,99980369,ALLIED BUILDING PRODUCTS CORP,805,,NA
41,99980385,"R-E BUILDERS, INC",805,,NA
42,99980450,VIVA VINO IMPORT CORPORATION,805,,NA
43,99980455,"MICHAELS STORES, INC",805,,NA
44,99980463,NORWEL EQUIPMENT COMPANY LIMITED PARTNERSHIP,805,,NA
45,99980489,"DOLLAR TREE STORES, INC.",805,,NA
46,99980505,"D, D & A VENTURES, INC",805,,NA
47,99980570,"JONES, JACK HEARING CENTER INC",805,,NA
48,99980588,NATIONAL CATASTROPHE ADJUSTERS INC,805,,NA
49,99980612,WASHINGTON MUTUAL FINANCE CORPORATION,805,,NA
50,99980653,AMERICAN HOMECARE SUPPLY MID ATLANTIC L.L.C.,805,,NA
51,99981040,PHARMACEUTICAL DISCOVERY CORP,805,,NA
52,99981065,TRI-MECH SOLUTIONS LLC,805,,NA
53,99981073,"USA/DOCUFINISH, INC",805,,NA
54,99981128,"SKEE BALL, INC",805,,NA
55,99981169,"R.A.F. INDUSTRIES, INC",805,,NA
56,99981172,KIRBY'S STEAKHOUSE LTD,805,,NA
57,99981219,RALPH S SANDO MD PC,805,,NA
58,99981222,STATE FARM FIRE & CASUALTY COMPANY INC,805,,NA
59,99981227,AGWAY INC,805,,NA
60,99981248,ADVANCED HOMECARE MANAGEMENT INC,805,,NA
61,99981313,YOUNG MEN'S CHRISTIAN ASSOCIATION OF COASTAL GEORGIA INC,805,,NA
62,99981412,TYCO INTERNATIONAL (US) INC,805,,NA
63,99981511,EDWARD D JONES & CO L P,805,,NA
64,99981524,EYE CARE PHYSICIANS & SPECIALISTS,805,,NA
65,99981537,"SPARTA, INC.",805,,NA
66,99981594,GENUINE PARTS COMPANY INC,805,,NA
67,99981693,CHATTANOOGA FAST LUBE,805,,NA
68,99981867,"WINTER, INC",805,,NA
69,99981891,ROBERT HALF INTERNATIONAL INC,805,,NA
70,99982121,PAN AMERICAN ELECTRIC INC,805,,NA
71,99982246,COUNTY OF CHAVES,805,,NA
72,99982329,NEOPHARM INC,805,,NA
73,99982337,"COSTA MESA, CITY OF",805,,NA
74,99982399,THE BOEING COMPANY,805,,NA
75,99982402,EDWARD D JONES & CO L P,805,,NA
76,99982451,"WHOLE FOODS MARKET GROUP, INC",805,,NA
77,99982464,"MONRO MUFFLER BRAKE, INC",805,,NA
78,99982550,STEWART CLINIC OF WINDER PC,805,,NA
79,99982600,CENTURYTEL INC,805,,NA
80,99982634,CHARTER COMMUNICATIONS INC,805,,NA
81,99982647,"WARNER & COMPANY, CPA",805,,NA
82,99982857,NATIONAL REPROGRAPHICS INC.,805,,NA
83,99982949,VOITH FABRICS APPLETON INC,805,,NA
84,99983103,VOITH PAPER INC,805,,NA
85,99983137,MONETARY MANAGEMENT OF CA INC,805,,NA
86,99983145,"WEST IRVING DIE, INC",805,,NA
87,99983178,COWBOY BOOKS & SUPPLY COW,805,,NA
88,99983186,KITCHELL CONTRACTORS INC OF ARIZONA,805,,NA
89,99983207,EMPLOYERS MUTUAL CASUALTY COMPANY,805,,NA
90,99983277,VAI POMINI INC,805,,NA
91,99983343,KEESLER FEDERAL CREDIT UNION,805,,NA
92,99983517,"ATMI, INC.",805,,NA
93,99983640,ROCCO RESCELO & SON,805,,NA
94,99983806,EQUILON ENTERPRISES L. L. C.,805,,NA
95,99983835,"WALLACE ROBERTS & TODD, LLC",805,,NA
96,99983863,"OFFICE DEPOT, INC.",805,,NA
97,99983900,NESHAMINY ABSTRACT CO INC,805,,NA
98,99983918,THE PANSY SHOP INC,805,,NA
99,99983939,ASSOCIATION OF FUNDRAISING PROFESSIONALS,805,,NA
100,99983962,THE HERTZ CORPORATION,805,,NA
101,99983983,WEST CHESTER AREA SCHOOL DISTRICT,805,,NA
102,99983988,CYTEC ENGINEERED MATERIALS INC,805,,NA
103,99984093,VOYAGER INTERNATIONAL INC,805,,NA
104,99984176,CITY JEANS INC,805,,NA
105,99984325,"REVERE RESTAURANT GROUP, INC.",805,,NA
106,99984361,KLEIN CO CENTER CITY PHILADELPHIA,805,,NA
107,99984510,COATING SUPPLY CENTER INC,805,,NA
108,99984650,"MAIN LINE PAVING CO, INC",805,,NA
109,99984705,BARLOW RESPIRATORY HOSPITAL,805,,NA
110,99984759,PRECISION MEASUREMENT COMPANY,805,,NA
111,99984767,E I DU PONT DE NEMOURS AND COMPANY INC,805,,NA
112,99984783,CHESTNUT GROUP INC,805,,NA
113,99984838,QUALITY TESTING LLC,805,,NA
114,99984903,ANTHONY CRANE RENTAL LP,805,,NA
115,99984911,ANTHONY CRANE RENTAL LP,805,,NA
116,99984940,TIPTON TRUCKING CO INC,805,,NA
117,99985025,CITY OF ATLANTA,805,,NA
118,99985046,"BROWNE, F X INC",805,,NA
119,99985074,CRENSHAW ENTERPRISES LTD,805,,NA
120,99985095,TAI CORPORATION,805,,NA
121,99985132,"CONRADO ENTERPRISES OF INDIAN RIVER COUNTY, INC.",805,,NA
122,99985157,SCOTT SCHAMBER'S SNACK SHOP,805,,NA
123,99985181,"WORLD COMMUNICATIONS CENTER, L.P.",805,,NA
124,99985199,CITY OF ATLANTA,805,,NA
125,99985348,"GALAXY INTEGRATED TECHNOLOGIES, INC",805,,NA
126,99985509,"HOWARD FISCHER ASSOCIATES INTERNATIONAL, INC",805,,NA
127,99985561,C C I INC,805,,NA
128,99985582,"PATIENCE, INC",805,,NA
129,99985637,MONETARY MANAGEMENT OF CA INC,805,,NA
130,99985660,J & N HEALTH LLC,805,,NA
131,99985673,USV OPTICAL INC,805,,NA
132,99985756,SYNCOR INTERNATIONAL CORPORATION,805,,NA
133,99985819,DOLLAR GENERAL STORE,805,,NA
134,99985871,UBS PAINEWEBBER INCORPORATED,805,,NA
135,99985954,AUTO METRICS LTD,805,,NA
136,99985959,CITY OF ATLANTA,805,,NA
137,99986002,"GATES, MC DONALD & COMPANY",805,,NA
138,99986028,BMW (US) HOLDING CORPORATION,805,,NA
139,99986056,TOTAL IDENTITY SYSTEMS CORP,805,,NA
140,99986077,COMCAST CABLEVISION OF MERCER COUNTY INC,805,,NA
141,99986114,CITY OF ATLANTA,805,,NA
142,99986213,CITY OF ATLANTA,805,,NA
143,99986254,MIZUHO CORPORATE BANK LTD,805,,NA
144,99986317,I CABLE INC,805,,NA
145,99986341,"PINKERTON'S, INC",805,,NA
146,99986366,ELKEN HOTEL COMPANY,805,,NA
147,99986403,AYSTA DAIRY DISTRIBUTING,805,,NA
148,99986416,PHILADELPHIA DEPOSITORY TRUST CO INC,805,,NA
149,99986429,MICHIGAN TECHNOLOGICAL UNIVERSITY,805,,NA
150,99986486,CITY OF ATLANTA,805,,NA
151,99986627,CITY OF ATLANTA,805,,NA
152,99986754,GRACO MANUFACTURING CO INC,805,,NA
153,99986825,C W C I INSULATION OF SOUTH DAKOTA INC,805,,NA
154,99986861,GREATER GERMANTOWN HOUSING DEVELOPMENT CORP,805,,NA
155,99987059,CHEVRON STATIONS INC,805,,NA
156,99987070,MONETARY MANAGEMENT OF CA INC,805,,NA
157,99987096,FOUR OAKS BANK & TRUST COMPANY,805,,NA
158,99987120,CITY OF ATLANTA,805,,NA
159,99987158,MARINA ASSOCIATES,805,,NA
160,99987240,AIDS FOR ARTHRITIS INC,805,,NA
161,99987505,TASK LITE CO,805,,NA
162,99987518,TRIANGLE FASTENER CORPORATION,805,,NA
163,99987539,JERVIS B WEBB COMPANY,805,,NA
164,99987612,VAN BERRY LINES INC,805,,NA
165,99987646,SPRING ROCKWOOD WATER,805,,NA
166,99987823,MONETARY MANAGEMENT OF CA INC,805,,NA
167,99987831,"CERTILMAN, BALIN, ADLER & HYMAN, LLP",805,,NA
168,99988045,MILLINGTON SAVINGS BANK,805,,NA
169,99988227,THE BITH GROUP INC,805,,NA
170,99988359,VIATICAL SERVICES INC,805,,NA
171,99988391,CITY OF ATLANTA,805,,NA
172,99988441,"REDVITAE TECHNOLOGIES, LLC",805,,NA
173,99988461,PENNS GROVE-CARNEYS POINT REGIONAL BOARD OF EDUCATION,805,,NA
174,99988516,APPLIED SCIENCE & TECHNOLOGY INC,805,,NA
175,99988524,CONCORD ELECTRIC SUPPLY LTD,805,,NA
176,99988532,"SYNTEC, INC.",805,,NA
177,99988540,CITY OF ATLANTA,805,,NA
178,99988573,ALLIED HOME MORTGAGE CAPITAL CORPORATION,805,,NA
179,99988599,CITY OF ATLANTA,805,,NA
180,99988615,BIOMED RESEARCH TECHNOLOGIES INC,805,,NA
181,99988649,F M PLUMBING & HEATING INC,805,,NA
182,99988714,CITY OF ATLANTA,805,,NA
183,99988727,SHANNON PLASTERING AND DRYWALL CORP,805,,NA
184,99988771,CITY OF ATLANTA,805,,NA
185,99988813,WASHINGTON COUNTY,805,,NA
186,99988821,FURNITURE DEPOT INC,805,,NA
187,99988870,CITY OF ATLANTA,805,,NA
188,99988946,"REDVITAE TECHNOLOGIES, LLC",805,,NA
189,99988953,SOUTHEASTERN FREIGHT LINES INC,805,,NA
190,99988961,KALISPEL TRIBE OF INDIANS,805,,NA
