,companyname,year,country,bvdidnumber,dbdunsnumber,countryisocode,tfp_available
1,ANDORRA BANC AGRICOL REIG SA - ANDBANC,2001,Andorra,AD18424,NA,AD,0
19,CREDIT ANDORRA,2001,Andorra,AD32845,NA,AD,0
117,NATIONAL CENTRAL COOLING COMPANY PJSC - TABREED,2001,United Arab Emirates,AE30005GU,NA,AE,1
126,OASIS INTERNATIONAL LEASING COMPANY P.J.S.C,2001,United Arab Emirates,AE30006GU,NA,AE,0
131,UNION PROPERTIES PUBLIC JOINT STOCK COMPANY,2001,United Arab Emirates,AE30007GU,NA,AE,0
139,EMAAR PROPERTIES PUBLIC JOINT STOCK COMPANY,2001,United Arab Emirates,AE30008GU,NA,AE,0
145,DUBAI INVESTMENTS (PJSC),2001,United Arab Emirates,AE30012GU,NA,AE,0
153,GULF GENERAL INVESTMENT COMPANY,2001,United Arab Emirates,AE30013GU,NA,AE,0
161,NATIONAL CORPORATION FOR TOURISM AND HOTELS,2001,United Arab Emirates,AE30015GU,NA,AE,0
176,ABU DHABI AVIATION SHAREHOLDING COMPANY,2001,United Arab Emirates,AE30021GU,NA,AE,1
198,ABU DHABI NATIONAL CO. FOR BUILDING MATERIALS,2001,United Arab Emirates,AE30026GU,NA,AE,0
365,UNITED ARAB BANK PJSC,2001,United Arab Emirates,AE30958,NA,AE,0
370,NATIONAL BANK OF DUBAI PUBLIC JOINT STOCK COMPANY,2001,United Arab Emirates,AE31039,NA,AE,0
375,NATIONAL BANK OF ABU DHABI,2001,United Arab Emirates,AE31240,NA,AE,0
382,ABU DHABI INVESTMENT COMPANY,2001,United Arab Emirates,AE31251,NA,AE,0
387,ARAB BANK FOR INVESTMENT & FOREIGN TRADE - ARBIFT,2001,United Arab Emirates,AE31277,NA,AE,0
400,EMIRATES BANK INTERNATIONAL PJSC,2001,United Arab Emirates,AE31286,NA,AE,0
413,BANK OF SHARJAH,2001,United Arab Emirates,AE31318,NA,AE,0
418,COMMERCIAL BANK OF DUBAI P.S.C.,2001,United Arab Emirates,AE31645,NA,AE,0
